,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
4688,10757,10757,31906,Barbacoa Mexican Grill,salt lake city,ut,4.8,13.0,"mexican, tex mex",$,40.6859759,-111.795629,3.99,8.49,6.295555555555556,4.99,1,UT/SALT LAKE CITY,18
4691,10760,10760,31909,Costa Vida,salt lake city,ut,4.5,51.0,"mexican, desserts, salads",$,40.73937,-111.82539,3.0,10.69,6.64695652173913,5.69,1,UT/SALT LAKE CITY,23
4704,10773,10773,31939,Del Taco,salt lake city,ut,4.7,100.0,"fast food, mexican, tacos",$,40.7282978,-111.9685306,3.05,22.05,8.190697674418605,7.475,1,UT/SALT LAKE CITY,86
4708,10777,10777,32309,Cafe Rio,salt lake city,ut,4.6,100.0,"kids friendly, mexican, tex mex",$,40.7603241,-111.8756209,4.69,13.09,9.48,11.09,1,UT/SALT LAKE CITY,20
4710,10779,10779,32313,Taco Bell,salt lake city,ut,4.3,100.0,"burritos, fast food, mexican",$,40.7720006,-111.9410217,3.35,28.79,9.667205882352942,6.95,1,UT/SALT LAKE CITY,68
4711,10780,10780,32321,Taco Bell,salt lake city,ut,4.4,100.0,"burritos, fast food, mexican",$,40.699382,-111.89093,3.35,28.79,9.667205882352942,6.95,1,UT/SALT LAKE CITY,68
4716,10785,10785,32336,Taco Bell,salt lake city,ut,4.7,53.0,"burritos, fast food, mexican",$,40.652761,-111.967026,3.11,25.19,7.909178082191781,5.51,1,UT/SALT LAKE CITY,73
4718,10787,10787,32345,Tekila Mexican Grill and Cantina,salt lake city,ut,4.5,48.0,"mexican, gluten free friendly, vegan friendly",$$,40.64182,-111.49498,5.0,35.5,15.0,14.5,1,UT/SALT LAKE CITY,49
4721,10790,10790,32350,El Chubasco,salt lake city,ut,4.4,16.0,"mexican, latin american, new mexican",$,40.66145297685168,-111.4994265715188,3.45,22.5,8.525862068965518,8.5,1,UT/SALT LAKE CITY,58
4722,10791,10791,32352,Tarahumara,salt lake city,ut,4.3,50.0,"mexican, latin american, new mexican",$$,40.66187,-111.50764,3.29,17.99,12.331304347826087,13.99,1,UT/SALT LAKE CITY,92
4725,10794,10794,32359,Del Taco,salt lake city,ut,4.7,32.0,"mexican, burgers, salads",$,40.724055,-111.5439976,3.05,22.05,7.9515625,7.275,1,UT/SALT LAKE CITY,96
4735,10804,10804,32488,Cafe Rio,salt lake city,ut,4.7,94.0,"kids friendly, mexican, tex mex",$,40.70018,-111.80277,4.69,13.09,9.345,10.39,1,UT/SALT LAKE CITY,20
4742,10811,10811,32498,The Moose Cafe,salt lake city,ut,4.4,17.0,"mexican, latin american, drinks",$$,40.75185,-111.6156,3.0,18.0,11.966666666666669,13.0,1,UT/SALT LAKE CITY,30
4747,10816,10816,32504,Taco Bell,salt lake city,ut,4.5,100.0,"burritos, fast food, mexican",$,40.624072,-111.835373,3.35,28.79,9.49625,6.59,1,UT/SALT LAKE CITY,72
4790,14424,14424,39484,Amanecer Coffee Shop  Bakery,austin,tx,,,"bakery, mexican",$,30.4215614,-97.6710409,3.0,12.5,6.2788,6.5,1,TX/AUSTIN,25
4813,14447,14447,39509,Serranos,austin,tx,4.8,156.0,"mexican, tex mex, breakfast and brunch",$$,30.2361502,-97.82181,3.6,26.4,14.60816326530612,14.4,1,TX/AUSTIN,49
